key,en,gr,es
str_001,Youth Leader RoadMap — HUMAN Project,Youth Leader RoadMap — HUMAN Project,Hoja de Ruta para Líderes Juveniles — Proyecto HUMAN
str_002,HUMAN:,HUMAN:,HUMAN:
str_003,Introduction,Εισαγωγή,Introducción
str_004,ME,ΕΓΩ,Yo
str_005,ME & Others,ΕΓΩ & Άλλα,Yo y otros
str_006,Community,Κοινότητα ,Comunidad
str_007,Annexes,Παραρτήματα,Anexos
str_008,View HUMAN Modules ↗,Δείτε HUMAN Ενότητες ↗ ,Ver HUMAN módulos ↗ 
str_009,Fullscreen,Πλήρης οθόνη,Pantalla completa
str_010,HUMAN Project · CERV-2023-EQUAL · Youth Leader RoadMap,HUMAN Project · CERV-2023-EQUAL · Youth Leader RoadMap,Proyecto HUMAN· CERV-2023-Equal · Hoja de Ruta para Líderes Juveniles
str_011,Youth Leader,Ηγέτης ομάδας νέων,Líder Juvenil
str_012,RoadMap,Οδικός χάρτης ,Hoja de ruta
str_013,Unlock your potential to drive social impact in your community. This kit guides you from self-awareness to becoming a genuine changemaker — equipped to combat hate speech and build inclusive communities through digital activism.,Απελευθερώστε τις δυνατότητές σας για να δημιουργήσετε κοινωνικό αντίκτυπο στην κοινότητά σας. Αυτό το kit σας καθοδηγεί από την αυτογνωσία στο να γίνετε ένας γνήσιος παράγοντας αλλαγής — εξοπλισμένος για να καταπολεμήσετε τη ρητορική μίσους και να δημιουργήσετε κοινότητες χωρίς αποκλεισμούς μέσω του ψηφιακού ακτιβισμού.,Desbloquea tu potencial para generar impacto social en tu comunidad. Este kit te guía desde la autoconciencia hasta convertirte en un auténtico agente de cambio — preparado para combatir el discurso de odio y construir comunidades inclusivas a través del activismo digital.
str_014,Start the Journey ↓,Ξεκίνα τοTαξίδι ↓,Comienza el viaje ↓
str_015,humanactivists.eu ↗,humanactivists.eu ↗,humanactivists.eu ↗
str_016,Kit contents,Περιεχόμενα kit,Contenido del kit
str_017,ME & Community,ΕΓΩ & Κοινότητα,Yo y la Comunidad
str_018,What's in this kit?,Τι είναι σε αυτό το kit;,¿Qué hay en este kit?
str_019,Every journey needs,Κάθε ταξίδι χρειάζεται,Todo lo que un viaje necesita
str_020,a first step,ένα πρώτο βήμα,Un primer paso
str_021,"This kit is structured as a progressive journey — from understanding yourself as a young leader, to working with others, to creating lasting impact in your community.","Αυτό το kit είναι δομημένο ως ένα προοδευτικό ταξίδι — από την κατανόηση του εαυτού σας ως εκπρόσωπο των νέων, στη συνεργασία με άλλους και στη δημιουργία διαρκούς αντίκτυπου στην κοινότητά σας.","Este kit te guía a lo largo de un recorrido progresivo: desde descubrirte como una persona joven con liderazgo, hasta colaborar con otras personas y crear un impacto duradero en tu comunidad."
str_022,What is a changemaker? What does change mean? What is a Social Impact Project?,Τι είναι ένας δημιουργός αλλαγής; Τι σημαίνει αλλαγή; Τι είναι ένα Έργο Κοινωνικού Αντίκτυπου;,¿Qué es un agente de cambio? ¿Qué significa cambiar? ¿Qué es un Proyecto de Impacto Social?
